numero,bloque,tema,pregunta,respuesta
01,Bloque 1 – Vivienda y Acceso al Hogar,Vivienda,¿Cuánto ha subido el precio del alquiler en Barcelona en los últimos 5 años?,
02,Bloque 1 – Vivienda y Acceso al Hogar,Vivienda,¿Qué porcentaje del salario medio se destina al alquiler en las principales ciudades españolas?,
03,Bloque 1 – Vivienda y Acceso al Hogar,Vivienda,¿En qué ciudades españolas es más difícil acceder a una vivienda en alquiler?,
04,Bloque 1 – Vivienda y Acceso al Hogar,Vivienda,¿Ha crecido el precio de la vivienda más rápido que los salarios en España?,
05,Bloque 1 – Vivienda y Acceso al Hogar,Vivienda,¿Existe algún índice público que mida simultáneamente el coste de vivienda y el nivel salarial por ciudad?,
06,Bloque 1 – Vivienda y Acceso al Hogar,Vivienda,¿Cuántos años de salario completo se necesitan para comprar un piso en Barcelona?,
07,Bloque 1 – Vivienda y Acceso al Hogar,Vivienda,¿La regulación del alquiler ha conseguido frenar la subida de precios en las ciudades donde se ha aplicado?,
08,Bloque 1 – Vivienda y Acceso al Hogar,Vivienda,¿Qué porcentaje de la población joven en España no puede independizarse debido al coste de la vivienda?,
09,Bloque 1 – Vivienda y Acceso al Hogar,Vivienda,¿El precio de la vivienda en España ha recuperado los niveles de antes de la crisis de 2008?,
10,Bloque 1 – Vivienda y Acceso al Hogar,Vivienda,¿Existe en España algún indicador oficial de esfuerzo de acceso a la vivienda comparable entre ciudades?,
11,Bloque 2 – Salarios y Poder Adquisitivo,Salarios,¿Ha perdido poder adquisitivo el trabajador medio español en los últimos 3 años?,
12,Bloque 2 – Salarios y Poder Adquisitivo,Salarios,¿Cuánto vale realmente el salario mínimo interprofesional en términos de coste de vida por ciudad?,
13,Bloque 2 – Salarios y Poder Adquisitivo,Salarios,¿La inflación de alimentos ha afectado igual a todas las clases sociales?,
14,Bloque 2 – Salarios y Poder Adquisitivo,Salarios,¿Qué ciudad española ofrece mejor equilibrio entre salario y coste de vida?,
15,Bloque 2 – Salarios y Poder Adquisitivo,Salarios,¿Cuánto tiempo tarda una persona con salario medio en ahorrar para la entrada de un piso en Barcelona?,
16,Bloque 2 – Salarios y Poder Adquisitivo,Salarios,¿Cuál es la diferencia salarial entre el sector público y el privado en España?,
17,Bloque 2 – Salarios y Poder Adquisitivo,Salarios,¿Los salarios en España han crecido por encima de la inflación en los últimos 10 años?,
18,Bloque 2 – Salarios y Poder Adquisitivo,Salarios,¿Existe una brecha salarial significativa entre hombres y mujeres en las principales ciudades españolas?,
19,Bloque 2 – Salarios y Poder Adquisitivo,Salarios,¿Cuánto gana de media un trabajador en Barcelona comparado con uno en Sevilla o Zaragoza?,
20,Bloque 2 – Salarios y Poder Adquisitivo,Salarios,¿El incremento del SMI ha mejorado las condiciones de vida de los trabajadores de menor renta?,
21,Bloque 3 – Desigualdad y Exclusión Social,Desigualdad,¿Cuál es el índice de Gini en España y qué nos dice sobre la desigualdad real?,
